reference_id,bibliography_key,full_bibliography_entry,linked_book_note_ids
R143,Marchesi 2004,"Marchesi, Gianni. 2004. ‘Who was buried in the royal tombs of Ur? The epigraphic and textual data.’ Orientalia 73 (2): 153–97.",ch10-n72
R144,Martin 2001,"Martin, Simon. 2001. ‘The power in the west: the Maya and Teotihuacan.’ In Grube et al. (eds), pp. 98–113.",ch9-n15
R145,Martin 2020,"Martin, Simon. 2020. Ancient Maya Politics: A Political Anthropology of the Classic Period 150–900 CE. Cambridge: Cambridge University Press.",ch10-n24 | ch10-n25
R146,Matthews 2005,"Matthews, Wendy. 2005. ‘Micromorphological and microstratigraphic traces of uses and concepts of space.’ In Ian Hodder (ed.), Inhabiting Çatalhöyük: Reports from the 1995–1999 Seasons. Cambridge: McDonald Institute for Archaeological Research, British Institute of Archaeology at Ankara, pp. 355–98.",ch6-n15 | ch6-n16
R147,Mellaart 1967,"Mellaart, James. 1967. Çatal Hüyük: A Neolithic Town in Anatolia. London: Thames and Hudson.",ch6-n4
R148,Merrick 1991,"Merrick, Jeffrey. 1991. ‘Patriarchalism and constitutionalism in eighteenth-century parliamentary discourse.’ Studies in Eighteenth-Century Culture 20: 317–30.",ch12-n14
R149,Meskell 2008,"Meskell, Lynn, Carolyn Nakamura, Rachel King and Shahina Farid. 2008. ‘Figured lifeworlds and depositional practices at Çatalhöyük.’ Cambridge Archaeological Journal 18 (2): 139–61.",ch6-n5 | ch6-n6
R150,Mieroop 1989,"Mieroop, Marc Van De. 1989. ‘Women in the economy of Sumer.’ In B. S. Lesko (ed.), Women’s Earliest Records: Western Asia and Egypt. Atlanta, GA: Scholars Press, pp. 53–66.",ch8-n49
R151,Mieroop 1999,"Mieroop, Marc Van De. 1999. ‘The government of an ancient Mesopotamian city: what we know and why we know so little.’ In K. Watanabe (ed.), Priests and Officials in the Ancient Near East. Heidelberg: Universitätsverlag C. Winter, pp. 139–61.",ch8-n56 | ch8-n57
R152,Mieroop 2013,"Mieroop, Marc Van De. 2013. ‘Democracy and the rule of law, the assembly, and the first law code.’ In Crawford (ed.), pp. 277–89.",ch8-n74
R153,Millon 1964,"Millon, René. 1964. ‘The Teotihuacan mapping project.’ American Antiquity 29 (3): 345–52.",ch9-n20
R154,Millon 1976,"Millon, René. 1976. ‘Social relations at ancient Teotihuacan.’ In E. Wolf (ed.), The Valley of Mexico: Studies in Pre-Hispanic Ecology and Society. Albuquerque: University of New Mexico Press, pp. 205–48.",ch9-n13 | ch9-n34 | ch9-n35
R155,Milner 1998,"Milner, George R. 1998. The Cahokia Chiefdom: The Archaeology of a Mississippian Society. Washington: Smithsonian Institution Press.",ch11-n34 | ch11-n45
R156,Mitchell 1985,"Mitchell, Donald. 1985. ‘A demographic profile of Northwest Coast slavery.’ In M. Thompson, M. T. Garcia and F. J. Kense (eds), Status, Structure and Stratification: Current Archaeological Reconstructions. Calgary, Alberta: Archaeological Association of the University of Calgary, pp. 227–36.",ch5-n60
R157,Mittnik 2016,"Mittnik, Alissa et al. 2016. ‘A molecular approach to the sexing of the triple burial at the Upper Paleolithic site of Dolní Věstonice.’ PLoS ONE 11 (10): e0163019.",ch3-n22 | ch3-n23
R158,Moorey 1964,"Moorey, P. R. S. 1964. ‘The “Plano-Convex Building” at Kish and Early Mesopotamian Palaces.’ Iraq 26 (2): 83–98.",ch8-n65
R159,Moorey 1977,"Moorey, P. R. S. 1977. ‘What do we know about the people buried in the royal cemetery?’ Expedition 20 (1): 24–40.",ch10-n72
R160,Morris 2007,"Morris, Ellen. 2007. ‘Sacrifice for the state: First Dynasty royal funerals and the rites at Macramallah’s triangle.’ In Nicola Laneri (ed.), Performing Death: Social Analysis of Funerary Traditions in the Ancient Near East and Mediterranean. Chicago: Oriental Institute of Chicago, pp. 15–38.",ch10-n70 | ch10-n71 | ch10-n75 | ch10-n76
R161,Murra 1956,"Murra, John Victor. 1956. The Economic Organization of the Inca State. Chicago: Department of Anthropology. PhD dissertation, republished as The Economic Organization of the Inka State by JAI Press, Stamford, CT 1980).",ch10-n15
R162,Murra 1982,"Murra, John Victor. 1982. ‘The Mit’a obligations of ethnic groups to the Inka state.’ In G. Collier, R. Rosaldo and J. Wirth (eds), The Inca and Aztec States, 1400–1800. New York: Academic Press, pp. 237–62.",ch10-n14
R163,Müller 2016,"Müller, Johannes. 2016. ‘Human structure, social space: what we can learn from Trypyllia.’ In Müller et al. (eds), pp. 301–4.",ch8-n26 | ch8-n27 | ch8-n29
R164,Nash 1978,"Nash, June. 1978. ‘The Aztecs and the ideology of male dominance.’ Signs 4 (2): 349–62.",ch10-n8 | ch10-n9
R165,Neitzel 1965,"Neitzel, Robert S. 1965. Archaeology of the Fatherland Site: The Grand Village of the Natchez. New York: American Museum of Natural History.",ch10-n68 | ch10-n69
R166,Nichols 2016,"Nichols, Deborah L. 2016. ‘Teotihuacan.’ Journal of Archaeological Research 24: 1–74.",ch9-n21
R167,Nissen 2002,"Nissen, Hans. 2002. ‘Uruk: key site of the period and key site of the problem.’ In N. Postgate (ed.), Artefacts of Complexity: Tracking the Uruk in the Near East. London: British School of Archaeology in Iraq, pp. 1–16.",ch8-n63 | ch8-n64 | ch8-n65
R168,Notroff 2016,"Notroff, Jens, Oliver Dietrich and Klaus Schmidt. 2016. ‘Gathering of the dead? The early Neolithic sanctuaries at Göbekli Tepe, southeastern Turkey.’ In Colin Renfrew, Michael J. Boyd and Iain Morley (eds), Death Rituals, Social Order, and the Archaeology of Immortality in the Ancient World. Cambridge: Cambridge University Press, pp. 65–81.",ch6-n54
R169,Nuttall 1921,"Nuttall, Zelia. 1921. ‘Francisco Cervantes de Salazar. Biographical notes.’ Journal de la Société des Américanistes 13 (1): 59–90.",ch9-n50
R170,Oates 2007,"Oates, Joan et al. 2007. ‘Early Mesopotamian urbanism: a new view from the north.’ Antiquity 81 (313): 585–600.",ch8-n41
R171,Ohlrau 2016,"Ohlrau, René et al. 2016. ‘Living on the edge? Carrying capacities of Trypillian settlements in the Buh-Dnipro Interfluve.’ In Müller et al. (eds), 2016, pp. 207–20.",ch8-n26 | ch8-n27 | ch8-n29
R172,Pasztory 1988,"Pasztory, Esther. 1988. ‘A reinterpretation of Teotihuacan and its mural painting tradition.’ In Berrin (ed.), pp. 45–77.",ch9-n12
R173,Pasztory 1992,"Pasztory, Esther. 1992. ‘Abstraction and the rise of a utopian state at Teotihuacan.’ In J. C. Berlo (ed.), Art, Ideology, and the City of Teotihuacan. Washington: Dumbarton Oaks Research Library and Collection, pp. 281–320.",ch9-n12 | ch9-n32
R174,Pasztory 1997,"Pasztory, Esther. 1997. Teotihuacan. An Experiment in Living. Norman: University of Oklahoma Press.",ch9-n25 | ch9-n26
R175,Pauketat 1994,"Pauketat, Timothy R. 1994. The Ascent of Chiefs: Cahokia and Mississippian Politics in Native North America. Tuscaloosa: University of Alabama Press.",ch11-n34
R176,Pauketat 2007,"Pauketat, Timothy R. 2007. Chiefdoms and Other Archaeological Delusions. Lanham, MD: AltaMira Press.",ch11-n45
R177,Pauketat 2009,"Pauketat, Timothy R. 2009. Cahokia: Ancient America’s Great City on the Mississippi. Penguin Library of American Indian History. New York: Viking.",ch11-n10 | ch11-n32 | ch11-n33 | ch11-n34 | ch11-n41 | ch11-n9
R178,Pauketat 2013,"Pauketat, Timothy R. 2013. An Archaeology of the Cosmos: Rethinking Agency and Religion in Ancient Times. London: Routledge.",ch11-n46
R179,Pauketat 2015,"Pauketat, Timothy R., Susan M. Alt and Jeffery D. Kruchten. 2015. ‘City of earth and wood: New Cahokia and its material-historical implications.’ In Norman Yoffee (ed.), The Cambridge World History. Cambridge: Cambridge University Press, pp. 437–54.",ch11-n35 | ch11-n36 | ch11-n37 | ch11-n38 | ch11-n40 | ch11-n47
R180,Paulinyi 1981,"Paulinyi, Zoltán. 1981. ‘Capitals in pre-Aztec Central Mexico.’ Acta Orientalia Academiae Scientiarum Hungaricae 35 (2/3): 315–50.",ch9-n25 | ch9-n26 | ch9-n42
R181,Pearson 2012,"Parker Pearson, Mike (and the Stonehenge Riverside Project). 2012. Stonehenge: Exploring the Greatest Stone Age Mystery. London: Simon and Schuster.",ch3-n40
R182,Pearson 2013,"Pearson, Jessica et al. 2013. ‘Food and social complexity at Çayönü Tepesi, southeastern Anatolia: stable isotope evidence of differentiation in diet according to burial practice and sex in the early Neolithic.’ Journal of Anthropological Archaeology 32 (2): 180–89.",ch6-n58 | ch6-n59
R183,Pennock 2008,"Dodds Pennock, Caroline. 2008. Bonds of Blood: Gender, Lifecyle, and Sacrifice in Aztec Culture. New York: Palgrave Macmillan.",ch10-n11
R184,Pennock 2017,"Dodds Pennock, Caroline. 2017. ‘Gender and Aztec life cycles.’ In D. L. Nichols and E. Rodríguez-Algería (eds), The Oxford Handbook of the Aztecs. Oxford: Oxford University Press, pp. 387–98.",ch10-n8 | ch10-n9
R185,Peters 2017,"Peters, Joris et al. 2017. ‘The emergence of livestock husbandry in Early Neolithic Anatolia.’ In U. Albarella et al. (eds), The Oxford Handbook of Zooarchaeology. Oxford: Oxford University Press, pp. 247–65.",ch6-n28 | ch6-n29
R186,Pettitt 2011,"Pettitt, Paul. 2011. The Palaeolithic Origins of Human Burial. London: Routledge.",ch3-n22 | ch3-n23
R187,Possehl 2002,"Possehl, G. L. 2002. The Indus Civilization: A Contemporary Perspective. Walnut Creek, CA: AltaMira Press.",ch8-n103 | ch8-n85 | ch8-n92
R188,Postgate 1992,"Postgate, Nicholas. 1992. Early Mesopotamia: Society and Economy at the Dawn of History. London: Routledge.",ch8-n56 | ch8-n57
R189,Prendergast 2018,"Prendergast, Amy L., Alexander J. E. Pryor, Hazel Reade and Rhiannon E. Stevens. 2018. ‘Seasonal records of palaeoenvironmental change and resource use from archaeological assemblages.’ Journal of Archaeological Science: Reports 21.",ch3-n38
R190,Pryor 2020,"Pryor, Alexander J. E. et al. 2020. ‘The chronology and function of a new circular mammoth-bone structure at Kostenki 11.’ Antiquity 94 (374): 323–41.",ch3-n28
R191,Quilter 2002,"Quilter, Jeffrey. 2002. ‘Moche politics, religion, and warfare.’ Journal of World Prehistory 16 (2): 145–95.",ch10-n47 | ch10-n48 | ch10-n49 | ch10-n50
R192,Ratnagar 2004,"Ratnagar, Shereen. 2004. Trading Encounters: From the Euphrates to the Indus in the Bronze Age. New Delhi: Oxford University Press.",ch8-n86
R193,Ratnagar 2016,"Ratnagar, Shereen. 2016. Harappan Archaeology: Early State Perspectives. Delhi: Primus Books.",ch8-n85
R194,Redding 1998,"Redding, Richard W. 1998. ‘Ancestoral pigs: a New (Guinea) model for pig domestication in the Middle East.’ MASCA Research Papers in Science and Archaeology 15: 65–76.",ch7-n52
R195,Rehak 2002,"Rehak, Paul. 2002. ‘Imag(in)ing a women’s world in Bronze Age Greece.’ In Nancy Sorkin Rabinowitz and Lisa Auanger (eds), Among Women from the Homosocial to the Homoerotic in the Ancient World. Austin: University of Texas Press, pp. 34–59.",ch10-n154
R196,Richardson 2012,"Richardson, Seth. 2012. ‘Early Mesopotamia: the presumptive state.’ Past and Present 215: 3–49.",ch10-n134 | ch10-n5
R197,Ringle 2004,"Ringle, William A. 2004. ‘On the political organization of Chichen Itza.’ Ancient Mesoamerica 15: 167–218.",ch10-n27 | ch10-n28 | ch10-n29
R198,Rissman 1988,"Rissman, Paul. 1988. ‘Public displays and private values: a guide to buried wealth in Harappan archaeology.’ World Archaeology 20: 209–28.",ch8-n90
R199,Ritchie 2016,"Ritchie, Morgan, Dana Lepofsky et al. 2016. ‘Beyond culture history: Coast Salish settlement patterning and demography in the Fraser Valley, bc.’ Journal of Anthropological Archaeology 43: 140–54.",ch4-n32
R200,Rodrigues 2005,"Rodrigues, Teresa. 2005. ‘Gender and social differentiation within the Turner Population, Ohio, as evidenced by activity-induced musculoskeletal stress markers.’ In Carr and Case (eds), pp. 405–27.",ch11-n23 | ch11-n24
R201,Roebroeks 2000,"Roebroeks, Wil et al. 2000. Hunters of the Golden Age: The Mid-Upper Palaeolithic of Eurasia 30,000–20,00 BP. Leiden: University of Leiden Press.",ch3-n38
R202,Rosenwig 2010,"Rosenwig, Robert M. 2010. The Beginnings of Mesoamerican Civilization: Inter-Regional Interaction and the Olmec. Cambridge: Cambridge University Press.",ch10-n40
R203,Rosenwig 2017,"Rosenwig, Robert M. 2017. ‘Olmec globalization: a Mesoamerican archipelago of complexity.’ In Tamar Hodos (ed.), The Routledge Handbook of Archaeology and Globalization. London: Routledge, pp. 177–93.",ch10-n39
R204,Roth 1991,"Roth, Anne Macy. 1991. Egyptian Phyles in the Old Kingdom: The Evolution of a System of Social Organization. Chicago: Oriental Institute.",ch10-n92 | ch10-n93 | ch10-n94
R205,Sahlins 2004,"Sahlins, Marshall. 2004. Apologies to Thucydides. Chicago: University of Chicago Press.",ch5-n22
R206,Sahlins 2017,"Sahlins, Marshall. 2017. ‘The stranger-kingship of the Mexica.’ In Graeber and Sahlins, pp. 223–48.",ch10-n116 | ch10-n27 | ch10-n28 | ch10-n29 | ch10-n57 | ch10-n70 | ch10-n71 | ch9-n3 | ch9-n64
R207,Salomon 2004,"Salomon, Frank. 2004. The Cord Keepers. Khipus and Cultural Life in a Peruvian Village. Durham, NC and London: Duke University Press.",ch10-n15
R208,Santana 2012,"Santana, Jonathan et al. 2012. ‘Crania with mutilated facial skeletons: a new ritual treatment in an early Pre-Pottery Neolithic B cranial cache at Tell Qarassa North (South Syria).’ American Journal of Physical Anthropology 149: 205–16.",ch6-n64
R209,Sassaman 2005,"Sassaman, Kenneth E. 2005. ‘Poverty Point as structure, event, process.’ Journal of Archaeological Method and Theory 12 (4): 335–64.",ch4-n27
R210,Schirmer 1990,"Schirmer, Wulf. 1990. ‘Some aspects of building at the “aceramic-neolithic” settlement of Çayönü Tepesi.’ World Archaeology 21 (3): 363–87.",ch6-n58 | ch6-n59
R211,Schmandt-Besserat 1992,"Schmandt-Besserat, Denise. 1992. Before Writing. Austin: University of Texas Press.",ch10-n118 | ch10-n119 | ch10-n120
R212,Schmidt 1998,"Schmidt, Klaus. 1998. ‘Frühneolithische Silexdolche.’ In Güven Arsebük et al. (eds), Light on Top of the Black Hill. Studies Presented to Halet Çambel. Istanbul: Yeni, pp. 681–92.",ch6-n55 | ch6-n56 | ch6-n57
R213,Schmidt 2006,"Schmidt, Klaus. 2006. Sie bauten die ersten Tempel. Das rätselhafte Heiligtum der Steinzeitjäger. Munich: C. H. Beck.",ch3-n25 | ch6-n54
R214,Schrakamp 2010,"Schrakamp, I. 2010. Krieger und Waffen im frühen Mesopotamien. Organisation und Bewaffnung des Militärs in frühdynastischer und sargonischer Zeit. Marburg: Philipps-Universität.",ch10-n134
R215,Scott 2017,"Scott, James C. 2017. Against the Grain: A Deep History of the Earliest States. New Haven, CT and London: Yale University Press.",ch10-n110
R216,Sharer 2003,"Sharer, Robert J. 2003. ‘Founding events and Teotihuacan connections at Copán, Honduras.’ In Braswell (ed.), pp. 143–65.",ch9-n14
R217,Shaughnessy 1989,"Shaughnessy, Edward. L. 1989. ‘Historical geography and the extent of the earliest Chinese kingdom.’ Asia Minor (2) 2: 1–22.",ch10-n104 | ch10-n105 | ch10-n106
R218,Sheppard 2011,"Sheppard, Peter J. 2011. ‘Lapita colonization across the Near/Remote Oceania boundary.’ Current Anthropology 52 (6): 799–840.",ch7-n31
R219,Sherratt 1997,"Sherratt, Andrew. 1997. Economy and Society in Prehistoric Europe. Changing Perspectives. Edinburgh: Edinburgh University Press.",ch6-n40
R220,Sherratt 2000,"Sherratt, Susan. 2000. Arthur Evans, Knossos, and the Priest-King. Oxford: Ashmolean Museum.",ch10-n145 | ch10-n146 | ch10-n147
R221,Sherratt 2007,"Sherratt, Andrew. 2007. ‘Diverse origins: regional contributions to the genesis of farming.’ In Colledge and Conolly (eds), pp. 1–20.",ch6-n24
R222,Sikora 2017,"Sikora, Martin et al. 2017. ‘Ancient genomes show social and reproductive behavior of early Upper Paleolithic foragers.’ Science 358 (6363): 659–62.",ch3-n21
R223,Skoglund 2016,"Skoglund, Pontus et al. 2016. ‘Genomic insights into the peopling of the Southwest Pacific.’ Nature 538 (7626): 510–13.",ch7-n32 | ch7-n33
R224,Skousen 2016,"Skousen, B. Jacob. 2016. ‘Pilgrimage and the Construction of Cahokia: A View from the Emerald Site’. Doctoral dissertation, University of Illinois at Urbana-Champaign.",ch11-n31
R225,Slon 2014,"Slon, Viviane et al. 2014. ‘The plastered skulls from the Pre-Pottery Neolithic B Site of Yiftahel (Israel) – a computed tomography-cased analysis.’ PLoS ONE 9 (2): e89242.",ch6-n63
R226,Smith 1984,"Smith, Michael E. 1984. ‘The Aztlan migrations of the Nahuatl chronicles: myth or history?’ Ethnohistory 31 (3): 153–86.",ch9-n1
R227,Smith 1992,"Smith, Bruce D. 1992. ‘Mississippian elites and solar alignments: a reflection of managerial necessity, or levers of social inequality?’ In A. W. Barker and T. R. Pauketat (eds), Lords of the Southeast: Social Inequality and the Native Elites of Southeastern North America. Washington: Archaeological Papers of the American Anthropological Association, pp 11–30.",ch11-n35 | ch11-n36 | ch11-n37 | ch11-n46
R228,Smith 2012,"Smith, Michael E. 2012. The Aztecs (3rd edn). Oxford: Wiley-Blackwell.",ch9-n48
R229,Smith 2015,"Smith, Michael E. 2015. ‘Neighborhood formation in semi-urban settlements.’ Journal of Urbanism 8 (2): 173–98.",ch8-n13
R230,Smith 2017,"Smith, Michael. E. et al. 2017. ‘The Teotihuacan anomaly: the historical trajectory of urban design in ancient Central Mexico.’ Open Archaeology 3: 175–93.",ch9-n23 | ch9-n30 | ch9-n31
R231,Snow 1991,"Snow, Dean. 1991. ‘Dating the emergence of the League of the Iroquois: a reconsideration of the documentary evidence.’ In Nancy-Anne McClure Zeller (ed.), A Beautiful and Fruitful Place: Selected Rensselaerswijck Seminar Papers. Albany, NY: New Netherland Publishing, pp. 139–43.",ch11-n75
R232,Soffer 1985,"Soffer, Olga. 1985. The Upper Palaeolithic of the Central Russian Plain. London: Academic Press.",ch3-n28 | ch3-n38
R233,Soustelle 1962,"Soustelle, Jacques. 1962. The Daily Life of the Aztecs on the Eve of the Spanish Conquest. New York: Macmillan.",ch10-n8 | ch10-n9
R234,Spriggs 1995,"Spriggs, Matthew. 1995. ‘The Lapita culture and Austronesian prehistory in Oceania.’ In Peter Bellwood et al. (eds), The Austronesians: Historical and Comparative Perspectives. Canberra: ANU Press, pp. 112–33.",ch7-n32 | ch7-n33
R235,Spriggs 1997,"Spriggs, Matthew. 1997. The Island Melanesians. Oxford: Blackwell.",ch7-n31
R236,Starna 2008,"Starna, William A. 2008. ‘Retrospecting the origins of the League of the Iroquois.’ Proceedings of the American Philosophical Society 152 (3): 279–321.",ch11-n75
R237,Steinkeller 2015,"Steinkeller, Piotr. 2015. ‘The employment of labour on national building projects in the Ur III period.’ In Steinkeller and Hudson (eds), pp. 137–236.",ch8-n46
R238,Stordeur 2000,"Stordeur, Danielle. 2000. ‘Jerf el Ahmar et l’émergence du Néolithique au Proche-Orient.’ In Jean Guilaine (ed.), Premiers paysans du monde: Naissances des agricultures, Séminaire du Collège de France. Paris: Errance, pp. 33–60.",ch6-n55 | ch6-n56 | ch6-n57
R239,Straus 1977,"Straus, Lawrence G. 1977. ‘The Upper Palaeolithic cave site of Altamira (Santander, Spain).’ Quaternaria 19: 135–48.",ch3-n38
R240,Stuart 2000,"Stuart, David. 2000. ‘The arrival of strangers: Teotihuacan and Tollan in Classic Maya history.’ In D. Carrasco, L. Jones and S. Sessions (eds), Mesoamerica’s Classic Heritage: From Teotihuacan to Aztecs. Boulder: University Press of Colorado, pp. 465–513.",ch9-n15 | ch9-n4
R241,Sugiyama 2013,"Sugiyama, Nawa, Saburo Sugiyama and Alejandro G. Sarabia. 2013. ‘Inside the Sun Pyramid at Teotihuacan, Mexico: 2008–2011 excavations and preliminary results.’ Latin American Antiquity 24 (4): 403–32.",ch9-n25 | ch9-n26
R242,Sugiyama 2019,"Sugiyama, Nawa et al. 2019. ‘Artistas mayas en Teotihuacan?’ Arqueología Mexicana 24 (142): 8.",ch9-n15
R243,Swanton 1931,"Swanton, John Reed. 1931. ‘Source material for the social and ceremonial life of the Choctaw Indians.’ Bureau of American Ethnology Bulletin 103: 1–282.",ch11-n32 | ch11-n33
R244,Tambiah 1973,"Tambiah, Stanley J. 1973. ‘The galactic polity in Southeast Asia.’ In S. J. Tambiah, Culture, Thought, and Social Action. Cambridge, MA: Harvard University Press, pp. 3–31.",ch10-n110
R245,Tate 2012,"Tate, Carolyn E. 2012. Reconsidering Olmec Visual Culture: The Unborn, Women, and Creation. Austin: University of Texas Press.",ch10-n41
R246,Taube 1986,"Taube, Karl. A. 1986. ‘The Teotihuacan cave of origin: the iconography and architecture of emergence mythology in Mesoamerica and the American Southwest.’ RES: Anthropology and Aesthetics 12: 51–82.",ch9-n10 | ch9-n9
R247,Taube 2000,"Taube, Karl. A. 2000. ‘The writing system of ancient Teotihuacan.’ Ancient America, vol. 1. Bardarsville, NC: Center for Ancient American Studies.",ch9-n7 | ch9-n8
R248,Teschler-Nicola 1996,"Teschler-Nicola, M. et al. 1996. ‘Anthropologische Spurensicherung – Die traumatischen und postmortalen Veränderungen an den linearbandkeramischen Skelettresten von Asparn/Schletz.’ In H. Windl (ed.), Rätsel um Gewalt und Tod vor 7.000 Jahren. Eine Spurensicherung. Asparn: Katalog des Niederösterreichischen Landesmuseum, pp. 47–64.",ch7-n20
R249,Thomas 2005,"Thomas, Chad R., Christopher Carr and Cynthia Keller. 2005. ‘Animaltotemic clans of Ohio Hopewellian peoples.’ In Carr and Case (eds), pp. 339–85.",ch11-n20 | ch11-n21
R250,Thompson 2015,"Thompson, Andrew et al. 2015. ‘New dental and isotope evidence of biological distance and place of origin for mass burial groups at Cahokia’s Mound 72.’ American Journal of Physical Anthropology 158: 341–57.",ch11-n38 | ch11-n40
R251,Torres 2008,"Torres, Constantino Manuel. 2008. ‘Chavín’s psychoactive pharmacopoeia: the iconographic evidence.’ In Conklin and Quilter (eds), pp. 237–57.",ch10-n53
R252,Trigger 2006,"Trigger, Bruce G. 2006. A History of Archaeological Thought (2nd edn). Cambridge: Cambridge University Press.",ch3-n2
R253,Trinkaus 2018,"Trinkaus, Erik. 2018. ‘An abundance of developmental anomalies and abnormalities in Pleistocene people.’ PNAS 115 (47): 11941–6.",ch3-n36
R254,Tuck 1978,"Tuck, James A. 1978. ‘Northern Iroquoian prehistory.’ In Bruce G. Trigger (ed.), Handbook of North American Indians, vol. 15: Northeast. Washington: Smithsonian Press, pp. 322–33.",ch11-n76
R255,Tuerenhout 2002,"Tuerenhout, Dirk Van. 2002. ‘Maya warfare: sources and interpretations.’ Civilisations 50: 129–52.",ch10-n134
R256,Underhill 2008,"Underhill, Anne P. et al. 2008. ‘Changes in regional settlement patterns and the development of complex societies in southeastern Shandong, China.’ Journal of Anthropological Archaeology 27 (1): 1–29.",ch8-n19
R257,Ur 2014,"Ur, Jason. 2014. ‘Households and the emergence of cities in Ancient Mesopotamia.’ Cambridge Archaeological Journal 24: 249–68.",ch8-n65
R258,Valentine 2015,"Valentine, B. et al. 2015. ‘Evidence for patterns of selective urban migration in the Greater Indus Valley (2600–1900 bc): a lead and strontium isotope mortuary analysis.’ PLoS ONE 10 (4): e0123103.",ch8-n13
R259,Vidale 2010,"Vidale, Massimo. 2010. ‘Aspects of palace life at Mohenjo-Daro.’ South Asian Studies 26 (1): 59–76.",ch8-n103
R260,Vidale 2013,"Vidale, Massimo. 2013. ‘T-Shaped pillars and Mesolithic “chiefdoms” in the prehistory of Southern Eurasia: a preliminary note.’ In Dennys Frenez and Maurizio Tosi (eds), South Asian Archaeology 2007. Proceedings of the 19th International Conference of the European Association of South Asian Archaeology. Oxford: BAR, pp. 51–8.",ch6-n53
R261,Videiko 1996,"Videiko, Mikhail. 1996. ‘Die Grossiedlungen der Tripol’e-Kultur in der Ukraine.’ Eurasia Antiqua 1: 45–80.",ch8-n22
R262,Viner 2010,"Viner, Sarah et al. 2010. ‘Cattle mobility in prehistoric Britain: strontium isotope analysis of cattle teeth from Durrington Walls (Wiltshire, Britain).’ Journal of Archaeological Science 37: 2812–20.",ch3-n42
R263,Voutsaki 1997,"Voutsaki, Sofia. 1997. ‘The creation of value and prestige in the Aegean Late Bronze Age.’ Journal of European Archaeology 5 (2): 34–52.",ch10-n150
R264,Wallace 1958,"Wallace, Anthony F. C. 1958. ‘Dreams and the wishes of the soul: a type of psychoanalytic theory among the seventeenth century Iroquois.’ American Anthropologist (N.S.) 60 (2): 234–48.",ch11-n73 | ch11-n74
R265,Wengrow 1998,"Wengrow, David. 1998. ‘The changing face of clay: continuity and change in the transition from village to urban life in the Near East.’ Antiquity 72: 783–95.",ch8-n65 | ch8-n73
R266,Wengrow 2006,"Wengrow, David. 2006. The Archaeology of Early Egypt: Social Transformations in North-East Africa, 10,000 to 2650 bc. Cambridge: Cambridge University Press.",ch10-n85
R267,Wengrow 2008,"Wengrow, David. 2008. ‘Prehistories of commodity branding.’ Current Anthropology 49 (1): 7–34.",ch8-n76
R268,Wengrow 2010a,"Wengrow, David. 2010a. What Makes Civilization? The Ancient Near East and the Future of the West. Oxford: Oxford University Press.",ch10-n122
R269,Wengrow 2010b,"Wengrow, David. 2010b. ‘The voyages of Europa: ritual and trade in the Eastern Mediterranean, c.2300–1850 bc.’ In William A. Parkinson and Michael L. Galaty (eds), Archaic State Interaction: The Eastern Mediterranean in the Bronze Age. Santa Fe: School for Advanced Research Press, pp. 141–60.",ch10-n149 | ch10-n92 | ch10-n93 | ch10-n94
R270,Wengrow 2011,"Wengrow, David. 2011. ‘Archival and sacrificial economies in Bronze Age Eurasia: an interactionist approach to the hoarding of metals.’ In T. Wilkinson, D. J. Bennet and S. Sherratt (eds), Interweaving Worlds. Oxford: Oxbow Books, pp. 135–44.",ch8-n82
R271,White 1985,"White, Randall. 1985. Upper Palaeolithic Land Use in the Périgord: A Topographical Approach to Subsistence and Settlement. Oxford: British Archaeological Reports.",ch3-n38
R272,White 1999,"White, Randall. 1999. ‘Intégrer la complexité sociale et opérationnelle: la construction matérielle de l’identité sociale à Sungir.’ In M. Julien et al. (eds), Préhistoire d’os: recueil d’études sur l’industrie osseuse préhistorique offert à Henriette Camps-Faber. Aix-en-Provence: L’Université de Provence, pp. 319–31.",ch3-n24
R273,White 2008,"White, Christine D. et al. 2008. ‘The Teotihuacan dream: an isotopic study of economic organization and immigration.’ Ontario Archaeology 85–8: 279–97.",ch8-n13
R274,Wild 2004,"Wild, Eva. M. et al. 2004. ‘Neolithic massacres: local skirmishes or general warfare in Europe?’ Radiocarbon 46: 377–85.",ch7-n20
R275,Wilkinson 2014,"Wilkinson, Toby. 2014. ‘The Early Transcaucasian phenomenon in structural-systemic perspective: cuisine, craft and economy.’ Paléorient 40 (2): 203–29.",ch8-n82
R276,Williams 1990,"Williams, Stephen. 1990. ‘The Vacant Quarter and other late events in the Lower Valley.’ In D. H. Dye (ed.), Towns and Temples Along the Mississippi. Tuscaloosa: University of Alabama Press, pp. 170–80.",ch11-n10 | ch11-n9
R277,Wills 1970,"Wills, John H. 1970. ‘Speaking arenas of ancient Mesopotamia.’ Quarterly Journal of Speech 56 (4): 398–405.",ch8-n52 | ch8-n53 | ch8-n54
R278,Wood 1992,"Wood, Andrée. R. 1992. ‘The detection, removal, storage, and species identification of prehistoric blood residues from Çayönü.’ American Journal of Archaeology 96 (2): 374.",ch6-n58 | ch6-n59
R279,Woods 2004,"Woods, William I. 2004. ‘Population nucleation, intensive agriculture, and environmental degradation: the Cahokia example.’ Agriculture and Human Values 21: 255–61.",ch11-n34
